id,policy,outcome,rating_policy
108,outcome_equality,unknown,5
109,outcome_equality,worst,4
110,outcome_equality,best,4
111,outcome_equality,best,6
114,outcome_equality,inequity,4
115,outcome_equality,inequity,4
116,outcome_equality,worst,4
117,outcome_equality,worst,5
118,outcome_equality,unknown,4
119,outcome_equality,best,5
120,outcome_equality,worst,1
121,outcome_equality,inequity,4
122,outcome_equality,unknown,5
123,outcome_equality,best,6
125,outcome_equality,inequity,5
126,outcome_equality,unknown,4
127,outcome_equality,worst,5
128,outcome_equality,worst,4
129,outcome_equality,inequity,6
130,outcome_equality,worst,4
131,outcome_equality,inequity,4
132,outcome_equality,best,4
133,outcome_equality,unknown,5
134,outcome_equality,best,4
136,outcome_equality,unknown,1
137,outcome_equality,unknown,4
138,outcome_equality,worst,5
139,outcome_equality,worst,5
140,outcome_equality,inequity,3
141,outcome_equality,inequity,4
142,outcome_equality,best,4
143,outcome_equality,unknown,6
144,outcome_equality,best,4
145,outcome_equality,worst,4
147,outcome_equality,unknown,3
148,outcome_equality,best,4
149,outcome_equality,worst,4
150,outcome_equality,best,4
151,outcome_equality,unknown,4
152,outcome_equality,inequity,6
153,outcome_equality,worst,4
154,outcome_equality,unknown,4
155,outcome_equality,inequity,4
156,outcome_equality,best,5
158,outcome_equality,unknown,3
159,outcome_equality,best,4
160,outcome_equality,inequity,5
161,outcome_equality,worst,6
162,outcome_equality,unknown,4
163,outcome_equality,inequity,4
164,outcome_equality,best,4
165,outcome_equality,worst,4
166,outcome_equality,unknown,5
167,outcome_equality,best,4
169,outcome_equality,inequity,3
170,outcome_equality,worst,5
1,opportunity_equality,best,4
112,opportunity_equality,best,5
175,opportunity_equality,best,5
186,opportunity_equality,best,5
197,opportunity_equality,best,5
208,opportunity_equality,best,3
219,opportunity_equality,best,4
230,opportunity_equality,best,5
241,opportunity_equality,best,3
2,opportunity_equality,best,4
13,opportunity_equality,best,4
24,opportunity_equality,best,5
35,opportunity_equality,best,4
46,opportunity_equality,best,6
57,opportunity_equality,best,5
68,opportunity_equality,best,5
79,opportunity_equality,best,3
90,opportunity_equality,worst,3
101,opportunity_equality,worst,4
113,opportunity_equality,worst,4
124,opportunity_equality,worst,4
135,opportunity_equality,worst,5
146,opportunity_equality,worst,5
157,opportunity_equality,worst,5
168,opportunity_equality,worst,4
171,opportunity_equality,worst,4
172,opportunity_equality,worst,3
173,opportunity_equality,worst,5
174,opportunity_equality,worst,5
176,opportunity_equality,worst,4
177,opportunity_equality,worst,3
178,opportunity_equality,worst,4
179,opportunity_equality,worst,4
180,opportunity_equality,inequity,4
181,opportunity_equality,inequity,3
182,opportunity_equality,inequity,3
183,opportunity_equality,inequity,4
184,opportunity_equality,inequity,3
185,opportunity_equality,inequity,3
187,opportunity_equality,inequity,4
188,opportunity_equality,inequity,4
189,opportunity_equality,inequity,4
190,opportunity_equality,inequity,3
191,opportunity_equality,inequity,3
192,opportunity_equality,inequity,4
193,opportunity_equality,inequity,3
194,opportunity_equality,inequity,5
195,opportunity_equality,inequity,5
196,opportunity_equality,inequity,5
198,opportunity_equality,unknown,6
199,opportunity_equality,unknown,4
200,opportunity_equality,unknown,5
201,opportunity_equality,unknown,4
202,opportunity_equality,unknown,4
203,opportunity_equality,unknown,4
