id,policy,outcome,rating_policy
220,risky,success,4
221,risky,success,5
222,risky,success,4
223,risky,success,5
224,risky,success,6
225,risky,success,6
226,risky,success,4
227,risky,success,3
228,risky,success,3
229,risky,success,6
231,risky,success,4
232,risky,success,4
233,risky,failure,4
234,risky,failure,4
235,risky,failure,1
236,risky,failure,5
237,risky,failure,2
238,risky,failure,3
239,risky,failure,4
240,risky,failure,5
242,risky,failure,4
243,risky,failure,3
244,risky,failure,3
245,risky,failure,5
246,risky,failure,4
247,risky,failure,5
248,risky,failure,4
249,risky,failure,5
250,risky,inequality,4
251,risky,inequality,4
3,risky,inequality,3
4,risky,inequality,3
5,risky,inequality,4
6,risky,inequality,3
7,risky,inequality,5
8,risky,inequality,4
9,risky,inequality,5
10,risky,inequality,4
11,risky,inequality,1
12,risky,inequality,2
14,risky,inequality,4
15,risky,inequality,4
16,risky,inequality,4
17,risky,inequality,3
18,risky,inequality,3
19,risky,control,3
20,risky,control,4
21,risky,control,2
22,risky,control,4
23,risky,control,4
25,risky,control,4
26,risky,control,5
27,risky,control,3
28,risky,control,4
29,risky,control,5
30,risky,control,6
31,risky,control,3
32,risky,control,3
33,risky,control,3
34,risky,control,4
36,risky,control,4
37,risky,failure,4
38,risky,inequality,3
39,risky,success,5
40,risky,control,4
41,risky,failure,5
42,risky,control,4
43,risky,success,4
44,risky,success,5
45,risky,control,1
47,risky,failure,3
48,risky,inequality,4
49,risky,control,4
50,risky,failure,4
51,risky,inequality,5
52,risky,control,4
53,risky,success,5
54,risky,success,5
55,risky,control,5
56,risky,failure,5
58,risky,failure,3
59,risky,inequality,3
60,risky,inequality,4
61,risky,inequality,4
62,risky,control,4
63,risky,control,5
64,risky,success,5
65,risky,failure,4
66,risky,inequality,3
67,risky,success,4
69,risky,failure,6
70,risky,control,4
71,risky,control,4
72,risky,success,5
73,risky,failure,2
74,risky,control,5
75,risky,inequality,4
76,risky,success,4
77,risky,control,5
78,risky,success,5
80,risky,failure,5
81,risky,inequality,4
82,risky,failure,4
83,risky,success,4
84,risky,failure,5
85,risky,inequality,5
86,risky,control,5
87,risky,success,4
88,risky,inequality,3
89,risky,failure,3
91,risky,control,4
92,risky,inequality,6
93,risky,success,3
94,risky,control,5
95,risky,failure,6
96,risky,failure,4
97,risky,success,5
98,risky,control,4
99,risky,inequality,4
100,risky,failure,4
102,risky,control,4
103,risky,success,3
104,risky,control,4
105,risky,success,6
106,risky,inequality,4
107,risky,inequality,4
108,risky,control,3
109,risky,failure,5
110,risky,success,4
111,risky,success,2
114,risky,inequality,3
115,risky,inequality,5
116,risky,failure,4
117,risky,failure,4
118,risky,control,4
119,risky,success,3
120,risky,failure,6
121,risky,inequality,5
122,risky,control,4
123,risky,success,4
125,risky,inequality,5
126,risky,control,3
