number,Eval,kind_of_answer,outcome,Distribute,Distributed,Distribute_Distributed,cond,univ,type,typeMatsumoto,typeDistribute,typeDistributed,Order,typeQuatro,sex,age,ID,SVO,EC,PD,PT,FS,HL,EG
no179,4,Ega,worst,2,2,4,2,t,22,E,E,E,Opp_First,EE,m,20,t321,other,6,6,6,6,,
no180,4,Ega,unknown,1,2,3,8,t,12,E,E,E,Opp_Second,EE,m,23,t322,pro,4.142857,3.714286,4.142857,3.142857,9,2
no181,3,Ega,inequity,3,1,4,3,t,31,Other,O,E,Opp_First,OE,m,19,t331,pro,3,1.857143,3.857143,2.857143,8,1
no182,5,Ega,best,3,3,6,5,t,33,O,O,O,Opp_Second,OO,m,23,t332,pro,3.857143,3,4.571429,3.714286,6,6
no183,5,Ega,unknown,1,1,2,4,t,11,E,E,E,Opp_First,EE,m,21,t351,pro,4.428571,4,3.857143,4,8,3
no184,1,Ega,worst,4,4,8,2,t,44,O,O,O,Opp_First,OO,m,22,t352,ind,2.857143,2.285714,4.428571,3.714286,5,6
no185,6,Ega,worst,1,2,3,6,t,12,E,E,E,Opp_Second,EE,f,23,t411,pro,4.285714,3.714286,3.428571,3.142857,8,2
no186,3,Ega,best,3,3,6,1,t,33,O,O,O,Opp_First,OO,f,21,t412,com,4.285714,3,4.428571,4.285714,3,3
no187,6,Ega,unknown,3,1,4,8,t,31,Other,O,E,Opp_Second,OE,f,23,t421,ind,3.857143,3.285714,3.857143,4.428571,7,3
no188,5,Ega,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,f,23,t422,pro,4,3.428571,3.857143,3.714286,10,1
no189,4,Ega,worst,2,2,4,6,t,22,E,E,E,Opp_Second,EE,f,23,t431,pro,4.142857,3.285714,4.714286,3.142857,7,2
no190,4,Ega,unknown,2,2,4,8,t,22,E,E,E,Opp_Second,EE,f,23,t432,pro,4.142857,3.857143,3.857143,3.285714,5,2
no191,6,Ega,best,1,1,2,5,t,11,E,E,E,Opp_Second,EE,f,22,t441,pro,4,2.714286,3.857143,3.571429,4,3
no192,4,Ega,unknown,1,1,2,4,t,11,E,E,E,Opp_First,EE,f,23,t442,pro,4,2.428571,3.857143,3.571429,8,2
no193,1,Ega,best,3,4,7,1,t,34,O,O,O,Opp_First,OO,f,22,t451,pro,2.857143,2.571429,3.285714,3.571429,3,5
no194,4,Ega,inequity,1,1,2,3,t,11,E,E,E,Opp_First,EE,f,24,t452,pro,4.428571,2.428571,4.142857,4,8,2
no195,4,Ega,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,m,23,t711,pro,3.571429,3.714286,3.142857,3.571429,7,2
no196,5,Ega,unknown,3,3,6,4,t,33,O,O,O,Opp_First,OO,m,22,t721,pro,4,3.714286,3.571429,3.571429,4,3
no197,4,Ega,worst,3,3,6,2,t,33,O,O,O,Opp_First,OO,m,20,t722,pro,4,3,3.857143,3.285714,6,5
no198,4,Ega,best,3,3,6,1,t,33,O,O,O,Opp_First,OO,m,23,t731,ind,3.285714,2.714286,4.714286,3.714286,6,2
no199,6,Ega,best,3,3,6,5,t,33,O,O,O,Opp_Second,OO,m,23,t732,pro,3.428571,2.285714,4,2.857143,5,5
no200,4,Ega,inequity,3,1,4,7,t,31,Other,O,E,Opp_Second,OE,m,21,t741,pro,4.571429,3.571429,4.142857,2.857143,8,2
no201,4,Ega,inequity,3,3,6,3,t,33,O,O,O,Opp_First,OO,m,21,t742,pro,4.285714,3.285714,4,3.857143,5,6
no202,4,Ega,worst,2,1,3,2,t,21,E,E,E,Opp_First,EE,f,20,t811,pro,4,3.714286,3.142857,2.571429,9,1
no203,5,Ega,worst,2,1,3,6,t,21,E,E,E,Opp_Second,EE,f,20,t812,ind,4.142857,3.428571,3.428571,3.428571,5,2
no204,4,Ega,unknown,2,3,5,8,t,23,Other,E,O,Opp_Second,EO,m,25,t911,pro,4.428571,3.142857,4,3.428571,8,2
no205,5,Ega,best,3,2,5,1,t,32,Other,O,E,Opp_First,OE,m,19,t912,pro,3.857143,3.571429,3.714286,3.571429,5,1
no206,1,Ega,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,24,t931,ind,4,2.857143,3.428571,3.714286,5,4
no207,4,Ega,inequity,4,4,8,3,t,44,O,O,O,Opp_First,OO,m,22,t932,other,4,4,3.428571,3.857143,1,4
no208,5,Ega,unknown,3,1,4,8,t,31,Other,O,E,Opp_Second,OE,m,23,t941,ind,4.142857,2.714286,4.428571,3.142857,5,2
no209,6,Ega,best,1,1,2,5,t,11,E,E,E,Opp_Second,EE,m,19,t942,pro,4,3.142857,4.142857,4.142857,8,1
no210,5,Ega,inequity,4,3,7,7,t,43,O,O,O,Opp_Second,OO,m,22,t952,pro,3.857143,4.142857,3.857143,4.142857,5,5
no211,4,Ega,unknown,3,3,6,4,t,33,O,O,O,Opp_First,OO,f,19,t1031,other,4.285714,4.285714,3.857143,4.142857,8,2
no212,5,Ega,worst,2,2,4,2,t,22,E,E,E,Opp_First,EE,f,22,t1032,ind,4.714286,4.285714,4.428571,3.714286,5,3
no213,4,Ega,worst,3,3,6,2,t,33,O,O,O,Opp_First,OO,m,21,t1041,com,3.857143,3.714286,3.714286,4.142857,5,3
no214,6,Ega,inequity,1,1,2,7,t,11,E,E,E,Opp_Second,EE,m,22,t1042,pro,3.571429,3.285714,4,3.714286,9,5
no215,4,Ega,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,22,t1051,pro,4,3.428571,3.571429,3.142857,7,3
no216,4,Ega,inequity,3,2,5,3,t,32,Other,O,E,Opp_First,OE,m,21,t1052,pro,4,2.714286,3.857143,3.857143,8,3
no217,4,Ega,best,2,2,4,5,t,22,E,E,E,Opp_Second,EE,m,20,t1121,pro,4,3,3.428571,4.285714,8,5
no218,5,Ega,unknown,2,2,4,8,t,22,E,E,E,Opp_Second,EE,m,20,t1122,pro,3.142857,3.142857,3.714286,3.857143,9,3
no219,4,Ega,best,2,3,5,1,t,23,Other,E,O,Opp_First,EO,m,20,t1131,pro,4.142857,3.142857,3.857143,4.428571,4,4
no220,1,Ega,unknown,4,4,8,4,t,44,O,O,O,Opp_First,OO,m,22,t1132,pro,4,3.857143,4.142857,3.142857,3,6
no221,4,Ega,unknown,3,2,5,8,t,32,Other,O,E,Opp_Second,OE,m,21,t1151,ind,4.142857,3.714286,3.714286,3.714286,8,1
no222,5,Ega,worst,1,1,2,2,t,11,E,E,E,Opp_First,EE,m,21,t1152,pro,3.428571,3.714286,3.285714,3.428571,5,3
no223,5,Ega,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,f,22,t1411,pro,4.285714,3.428571,3.571429,3,10,1
no224,3,Ega,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,f,22,t1412,pro,4.142857,3.571429,3,4.142857,7,3
no225,4,Ega,inequity,2,1,3,3,t,21,E,E,E,Opp_First,EE,f,22,t1421,ind,4.285714,3.571429,4.285714,3.285714,9,2
no226,4,Ega,best,3,2,5,5,t,32,Other,O,E,Opp_Second,OE,f,21,t1422,pro,4.285714,3,3.571429,2.571429,8,1
no227,6,Ega,unknown,2,2,4,4,t,22,E,E,E,Opp_First,EE,f,23,t1431,other,3.857143,3.142857,3.285714,4.428571,7,3
no228,4,Ega,best,2,1,3,1,t,21,E,E,E,Opp_First,EE,f,24,t1432,pro,3.285714,3.285714,3.285714,3.428571,9,2
no229,4,Ega,worst,2,2,4,2,t,22,E,E,E,Opp_First,EE,f,23,t1452,pro,3.571429,2.571429,3.857143,2.714286,3,1
no230,3,Ega,unknown,3,3,6,4,t,33,O,O,O,Opp_First,OO,m,24,t1511,ind,3.857143,3.142857,3.571429,2.857143,3,5
no231,4,Ega,best,3,2,5,1,t,32,Other,O,E,Opp_First,OE,m,22,t1512,ind,3.857143,3.285714,3.142857,3.428571,8,4
no232,4,Ega,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,23,t1521,ind,4.285714,3.428571,3.571429,4.714286,8,3
no233,4,Ega,best,2,2,4,5,t,22,E,E,E,Opp_Second,EE,m,22,t1522,ind,4.428571,3.714286,3.714286,2.714286,10,4
no234,4,Ega,unknown,3,3,6,8,t,33,O,O,O,Opp_Second,OO,m,21,t1541,ind,4.285714,3.571429,3.142857,4.142857,8,3
no235,6,Ega,inequity,1,1,2,7,t,11,E,E,E,Opp_Second,EE,m,20,t1542,pro,3.714286,2.428571,4,2.857143,6,3
no236,4,Ega,worst,2,3,5,6,t,23,Other,E,O,Opp_Second,EO,m,22,t1552,ind,3.714286,2.142857,3.285714,3.142857,1,5
no237,4,Ega,unknown,2,2,4,4,t,22,E,E,E,Opp_First,EE,f,21,t1611,pro,4,3.285714,2.857143,4,5,3
no238,4,Ega,inequity,2,3,5,7,t,23,Other,E,O,Opp_Second,EO,f,21,t1612,ind,3.714286,2.571429,3.428571,4,8,3
no239,5,Ega,best,3,3,6,5,t,33,O,O,O,Opp_Second,OO,f,27,t1621,ind,4.428571,3.285714,3,3.857143,5,4
no240,3,Ega,unknown,2,1,3,8,t,21,E,E,E,Opp_Second,EE,f,21,t1631,pro,4.428571,3.714286,4.428571,4.714286,7,4
no241,4,Ega,best,3,2,5,1,t,32,Other,O,E,Opp_First,OE,f,23,t1632,pro,4.428571,3.714286,4.285714,3.428571,6,3
no242,5,Ega,inequity,1,2,3,3,t,12,E,E,E,Opp_First,EE,f,23,t1641,ind,4.285714,3.714286,3.857143,3.428571,5,6
no243,6,Ega,worst,2,2,4,2,t,22,E,E,E,Opp_First,EE,m,21,t1712,ind,4.571429,3.428571,4.857143,2.857143,8,3
no244,4,Ega,unknown,1,1,2,8,t,11,E,E,E,Opp_Second,EE,m,24,t1721,pro,5,3.285714,4.428571,4.142857,8,2
no245,4,Ega,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,m,25,t1722,other,4.285714,3,3.857143,3.142857,6,5
no246,4,Ega,best,2,2,4,1,t,22,E,E,E,Opp_First,EE,m,20,t1731,ind,3.857143,2.857143,3.285714,3.285714,7,2
no247,4,Ega,worst,2,2,4,6,t,22,E,E,E,Opp_Second,EE,m,23,t1732,pro,4.285714,3.714286,3.857143,4,6,5
no248,5,Ega,unknown,2,2,4,4,t,22,E,E,E,Opp_First,EE,m,22,t1741,pro,4.571429,4.142857,3.857143,4,8,2
no249,4,Ega,best,3,3,6,5,t,33,O,O,O,Opp_Second,OO,m,27,t1742,ind,3,3.428571,2.571429,2,4,2
no250,3,Ega,inequity,3,3,6,3,t,33,O,O,O,Opp_First,OO,m,20,t1751,ind,4.142857,2.857143,3.571429,3.285714,4,4
no251,5,Ega,worst,1,1,2,2,t,11,E,E,E,Opp_First,EE,m,24,t1752,ind,4.285714,3.42857,3.7142857,3.285714,7,1
no1,4,Opp,best,1,2,3,1,h,12,E,E,E,Opp_First,EE,m,19,h10750,ind,3.285714286,3,3.571428571,6,8,4
no2,5,Opp,best,3,1,4,1,h,31,Other,O,E,Opp_First,OE,f,19,h11050,ind,4.571428571,4,2.142857143,6,8,1
no3,5,Opp,best,1,1,2,1,h,11,E,E,E,Opp_First,EE,f,20,h10850,pro,5.428571429,5,2.857142857,2.571428571,10,1
no4,5,Opp,best,1,3,4,1,h,13,Other,E,O,Opp_First,EO,m,20,h10950,ind,5.142857143,4.714285714,3.571428571,3.571428571,6,3
no5,5,Opp,best,4,3,7,1,h,43,O,O,O,Opp_First,OO,m,20,h11150,pro,4.142857143,1.857142857,5.571428571,5.142857143,5,5
no6,3,Opp,best,1,1,2,1,h,11,E,E,E,Opp_First,EE,m,20,h12620,pro,4.714285714,3.857142857,4.571428571,4.428571429,9,3
no7,4,Opp,best,3,2,5,1,h,32,Other,O,E,Opp_First,OE,f,20,h13240,pro,5,5.571428571,4.571428571,4.428571429,7,3
no8,5,Opp,best,3,1,4,1,h,31,Other,O,E,Opp_First,OE,m,18,h710,pro,5.142857143,3.571428571,5.142857143,4.714285714,7,2
no9,3,Opp,best,2,2,4,1,h,22,E,E,E,Opp_First,EE,m,18,h610,pro,5,3.428571429,4.428571429,4.142857143,7,3
no10,4,Opp,best,3,3,6,1,h,33,O,O,O,Opp_First,OO,f,18,h810,pro,5.142857143,4.857142857,4.285714286,5.857142857,,2
no11,4,Opp,best,1,2,3,1,h,12,E,E,E,Opp_First,EE,m,21,h1110,pro,5.285714286,4.142857143,5,3.857142857,5,5
no12,5,Opp,best,3,3,6,1,h,33,O,O,O,Opp_First,OO,m,20,h910,pro,6,4.857142857,5,6.285714286,5,2
no13,4,Opp,best,3,3,6,1,h,33,O,O,O,Opp_First,OO,m,19,h1010,ind,4.857142857,4.285714286,3.857142857,5.428571429,6,3
no14,6,Opp,best,4,3,7,1,h,43,O,O,O,Opp_First,OO,m,18,h1410,ind,4.285714286,4,4,4.857142857,9,5
no15,5,Opp,best,3,4,7,1,h,34,O,O,O,Opp_First,OO,f,19,h1210,ind,4.714285714,2.571428571,4.285714286,3.428571429,7,2
no16,5,Opp,best,3,3,6,1,h,33,O,O,O,Opp_First,OO,f,19,h1310,pro,5.571428571,4.857142857,3.857142857,4.142857143,8,2
no17,3,Opp,best,1,2,3,1,h,12,E,E,E,Opp_First,EE,f,19,h1510,pro,3.714285714,4.285714286,5,5,10,3
no18,3,Opp,worst,2,1,3,2,h,21,E,E,E,Opp_First,EE,f,18,h1630,ind,4.714285714,4,4.571428571,4,8,2
no19,4,Opp,worst,1,1,2,2,h,11,E,E,E,Opp_First,EE,f,20,h1730,ind,4.428571429,4.428571429,4.714285714,4.857142857,8,2
no20,4,Opp,worst,1,1,2,2,h,11,E,E,E,Opp_First,EE,f,20,h1830,other,6.142857143,3.714285714,6.142857143,5.571428571,8,4
no21,4,Opp,worst,3,2,5,2,h,32,Other,O,E,Opp_First,OE,f,20,h2030,pro,3.857142857,4,6.571428571,3,6,3
no22,5,Opp,worst,2,3,5,2,h,23,Other,E,O,Opp_First,EO,m,19,h1930,other,5.857142857,3.714285714,4.142857143,5.428571429,10,6
no23,5,Opp,worst,3,3,6,2,h,33,O,O,O,Opp_First,OO,f,18,h2130,pro,5.714285714,4.142857143,5,4.857142857,6,2
no24,5,Opp,worst,1,1,2,2,h,11,E,E,E,Opp_First,EE,f,18,h2230,pro,3.142857143,2.714285714,4,4.142857143,7,2
no25,4,Opp,worst,2,2,4,2,h,22,E,E,E,Opp_First,EE,m,19,h2330,pro,6.571428571,6.428571429,6,6.428571429,5,4
no26,4,Opp,worst,3,2,5,2,h,32,Other,O,E,Opp_First,OE,f,20,h2430,pro,5.142857143,3.714285714,4.142857143,6,8,2
no27,3,Opp,worst,2,2,4,2,h,22,E,E,E,Opp_First,EE,m,18,h2530,pro,5.857142857,5.714285714,6.142857143,5.428571429,7,2
no28,5,Opp,worst,1,1,2,2,h,11,E,E,E,Opp_First,EE,m,19,h2830,ind,5.714285714,5,4.571428571,5.857142857,8,2
no29,5,Opp,worst,3,3,6,2,h,33,O,O,O,Opp_First,OO,m,20,h2630,ind,2.142857143,1.714285714,1.571428571,1.285714286,4,5
no30,4,Opp,worst,1,3,4,2,h,13,Other,E,O,Opp_First,EO,m,20,h2730,pro,4.714285714,3.142857143,4.142857143,4.714285714,4,5
no31,3,Opp,worst,4,3,7,2,h,43,O,O,O,Opp_First,OO,m,20,h3030,ind,3.714285714,3.428571429,5,2.857142857,8,4
no32,4,Opp,worst,3,2,5,2,h,32,Other,O,E,Opp_First,OE,f,19,h3130,ind,5,5.428571429,4.571428571,4.142857143,7,2
no33,4,Opp,worst,1,2,3,2,h,12,E,E,E,Opp_First,EE,m,19,h2930,pro,4.285714286,5,4.142857143,5.142857143,7,3
no34,4,Opp,inequity,1,3,4,3,h,13,Other,E,O,Opp_First,EO,f,19,h3240,pro,5.714285714,6.142857143,3.857142857,4.714285714,7,4
no35,3,Opp,inequity,3,2,5,3,h,32,Other,O,E,Opp_First,OE,f,19,h3340,pro,4.857142857,6.428571429,3.571428571,5.428571429,4,1
no36,3,Opp,inequity,1,1,2,3,h,11,E,E,E,Opp_First,EE,m,21,h3440,pro,4.714285714,4.857142857,3.857142857,4.142857143,9,1
no37,4,Opp,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,f,21,h3540,pro,4.571428571,5.428571429,4.714285714,2.857142857,4,2
no38,3,Opp,inequity,1,1,2,3,h,11,E,E,E,Opp_First,EE,f,20,h3640,pro,5.142857143,4,4.142857143,5.714285714,4,2
no39,3,Opp,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,f,19,h3940,other,4.285714286,5.285714286,3.285714286,5.571428571,7,2
no40,4,Opp,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,f,20,h3840,pro,5.571428571,4.142857143,4.428571429,4.285714286,7,2
no41,4,Opp,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,m,19,h3740,pro,4.142857143,4.571428571,5.571428571,3.142857143,3,2
no42,4,Opp,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,m,20,h4140,pro,5.428571429,5,5.142857143,6.285714286,9,2
no43,3,Opp,inequity,2,2,4,3,h,22,E,E,E,Opp_First,EE,f,20,h4240,ind,4,4.571428571,3.857142857,4.428571429,7,1
no44,3,Opp,inequity,1,3,4,3,h,13,Other,E,O,Opp_First,EO,m,19,h4040,pro,5.857142857,5,4.571428571,4.857142857,5,5
no45,4,Opp,inequity,3,2,5,3,h,32,Other,O,E,Opp_First,OE,m,19,h11250,ind,5.714285714,5.857142857,3.571428571,3.428571429,8,2
no46,3,Opp,inequity,1,1,2,3,h,11,E,E,E,Opp_First,EE,m,19,h11350,pro,5.142857143,2.142857143,4.571428571,6.571428571,8,2
no47,5,Opp,inequity,3,3,6,3,h,33,O,O,O,Opp_First,OO,m,20,h12050,pro,4,3.428571429,4,4.714285714,6,5
no48,5,Opp,inequity,3,3,6,3,h,33,O,O,O,Opp_First,OO,m,20,h12420,ind,3.857142857,4,2.142857143,4,8,4
no49,5,Opp,inequity,2,3,5,3,h,23,Other,E,O,Opp_First,EO,m,18,h13140,ind,4.142857143,2.571428571,4.142857143,3.857142857,5,5
no50,6,Opp,unknown,1,3,4,4,h,13,Other,E,O,Opp_First,EO,f,22,h4820,pro,4,4.142857143,4.857142857,5.142857143,8,3
no51,4,Opp,unknown,2,2,4,4,h,22,E,E,E,Opp_First,EE,f,19,h4620,pro,5.428571429,5.142857143,3.142857143,5.571428571,10,2
no52,5,Opp,unknown,3,3,6,4,h,33,O,O,O,Opp_First,OO,m,20,h4320,pro,5.285714286,3.571428571,3.714285714,4.142857143,5,2
no53,4,Opp,unknown,2,2,4,4,h,22,E,E,E,Opp_First,EE,m,22,h4520,ind,6,4.285714286,3.142857143,4.571428571,7,3
no54,4,Opp,unknown,2,1,3,4,h,21,E,E,E,Opp_First,EE,m,20,h4420,ind,2.714285714,3.428571429,3.142857143,3.571428571,8,3
no55,4,Opp,unknown,3,2,5,4,h,32,Other,O,E,Opp_First,OE,f,20,h4720,pro,4.857142857,4.571428571,4.714285714,4.714285714,8,3
no56,1,Opp,unknown,4,2,6,4,h,42,Other,O,E,Opp_First,OE,m,20,h301,pro,2,2.857142857,4.714285714,6,7,4
no57,4,Opp,unknown,2,3,5,4,h,23,Other,E,O,Opp_First,EO,m,20,h5120,pro,4.428571429,4,5.571428571,4.428571429,8,3
no58,4,Opp,unknown,2,2,4,4,h,22,E,E,E,Opp_First,EE,m,21,h5220,pro,4.428571429,3.428571429,4.714285714,3.428571429,6,2
no59,5,Opp,unknown,3,3,6,4,h,33,O,O,O,Opp_First,OO,m,22,h4920,pro,5.428571429,5,4.857142857,4.857142857,5,5
no60,4,Opp,unknown,1,2,3,4,h,12,E,E,E,Opp_First,EE,f,21,h5420,ind,3,3,3.428571429,5.857142857,9,5
no61,4,Opp,unknown,2,1,3,4,h,21,E,E,E,Opp_First,EE,m,19,h5020,pro,3.285714286,4.714285714,3.857142857,4.857142857,7,1
no62,4,Opp,unknown,2,2,4,4,h,22,E,E,E,Opp_First,EE,f,19,h5320,pro,4.714285714,5.285714286,4,5.142857143,8,2
no63,4,Opp,unknown,1,2,3,4,h,12,E,E,E,Opp_First,EE,m,20,h5520,pro,5.571428571,3.285714286,4.285714286,5.142857143,7,2
no64,5,Opp,unknown,3,1,4,4,h,31,Other,O,E,Opp_First,OE,f,22,h302,ind,5.285714286,4,5.142857143,4.857142857,8,2
no65,6,Opp,unknown,1,4,5,4,h,14,Other,E,O,Opp_First,EO,m,20,h303,pro,5.571428571,2.571428571,3.714285714,2.142857143,5,6
no66,3,Opp,best,1,1,2,5,h,11,E,E,E,Opp_Second,EE,f,18,h5720,pro,4.142857143,5.285714286,4.142857143,6,10,1
no67,5,Opp,best,2,2,4,5,h,22,E,E,E,Opp_Second,EE,f,20,h5620,pro,4.428571429,3.285714286,4.428571429,4.714285714,8,1
no68,6,Opp,best,4,4,8,5,h,44,O,O,O,Opp_Second,OO,m,19,h6020,ind,4.142857143,3,5,2.285714286,4,5
no69,4,Opp,best,4,4,8,5,h,44,O,O,O,Opp_Second,OO,m,23,h6120,pro,2.857142857,3.428571429,4.714285714,3.285714286,5,5
no70,4,Opp,best,2,2,4,5,h,22,E,E,E,Opp_Second,EE,m,22,h6220,pro,4,2.714285714,4.571428571,4,,6
no71,5,Opp,best,1,1,2,5,h,11,E,E,E,Opp_Second,EE,m,19,h5920,pro,5.857142857,3.714285714,3.285714286,6.285714286,8,4
no72,4,Opp,best,1,1,2,5,h,11,E,E,E,Opp_Second,EE,f,22,h5820,ind,5.285714286,3.857142857,4,5,7,1
no73,5,Opp,best,4,2,6,5,h,42,Other,O,E,Opp_Second,OE,m,19,h6340,ind,3,2.428571429,3.857142857,3.571428571,8,3
no74,6,Opp,best,4,4,8,5,h,44,O,O,O,Opp_Second,OO,m,19,h6740,pro,4,4,3.571428571,1.428571429,7,5
no75,6,Opp,best,2,3,5,5,h,23,Other,E,O,Opp_Second,EO,m,21,h6440,pro,4.285714286,3.714285714,4.714285714,4.142857143,6,1
no76,4,Opp,best,1,1,2,5,h,11,E,E,E,Opp_Second,EE,f,21,h6540,pro,4.142857143,2.857142857,4.571428571,2.142857143,9,1
no77,3,Opp,best,3,2,5,5,h,32,Other,O,E,Opp_Second,OE,m,19,h6940,ind,5.428571429,3.428571429,5.285714286,5,4,5
no78,3,Opp,best,2,3,5,5,h,23,Other,E,O,Opp_Second,EO,m,20,h11560,ind,5.571428571,3.142857143,5.571428571,4.857142857,9,5
no79,6,Opp,best,2,1,3,5,h,21,E,E,E,Opp_Second,EE,f,21,h11460,ind,5.142857143,3.571428571,4.285714286,6.285714286,5,2
no80,4,Opp,best,2,2,4,5,h,22,E,E,E,Opp_Second,EE,m,20,h12110,pro,4.142857143,3.857142857,3.428571429,4.428571429,8,2
no81,4,Opp,best,1,3,4,5,h,13,Other,E,O,Opp_Second,EO,f,18,h12730,pro,4.571428571,3.714285714,3.857142857,4.142857143,10,5
no82,4,Opp,worst,2,1,3,6,h,21,E,E,E,Opp_Second,EE,f,20,h7310,ind,3.428571429,3,2.428571429,6.428571429,8,3
no83,4,Opp,worst,2,2,4,6,h,22,E,E,E,Opp_Second,EE,f,21,h7510,pro,5.285714286,5.285714286,4.428571429,5,6,3
no84,1,Opp,worst,2,3,5,6,h,23,Other,E,O,Opp_Second,EO,m,18,h7210,ind,3.571428571,4.857142857,3.142857143,5,7,4
no85,5,Opp,worst,4,4,8,6,h,44,O,O,O,Opp_Second,OO,m,21,h7110,pro,3,6,3.428571429,5,5,5
no86,2,Opp,worst,1,1,2,6,h,11,E,E,E,Opp_Second,EE,m,19,h6910,pro,2.142857143,1.142857143,5.142857143,5.285714286,8,1
no87,3,Opp,worst,3,4,7,6,h,34,O,O,O,Opp_Second,OO,m,20,h7410,pro,2,5.571428571,2.714285714,2.142857143,8,4
no88,4,Opp,worst,2,3,5,6,h,23,Other,E,O,Opp_Second,EO,f,20,h7010,pro,4.571428571,4.857142857,4.428571429,4.142857143,4,3
no89,5,Opp,worst,4,1,5,6,h,41,Other,O,E,Opp_Second,OE,m,21,h7830,ind,2.714285714,4.428571429,5.142857143,4.857142857,7,2
no90,4,Opp,worst,2,2,4,6,h,22,E,E,E,Opp_Second,EE,m,19,h7930,ind,5.142857143,4.714285714,4.428571429,4,5,3
no91,3,Opp,worst,3,3,6,6,h,33,O,O,O,Opp_Second,OO,m,21,h8030,ind,4.714285714,4.285714286,4.428571429,5.428571429,7,5
no92,3,Opp,worst,2,1,3,6,h,21,E,E,E,Opp_Second,EE,f,19,h7610,ind,6.142857143,4.857142857,4.428571429,6.285714286,5,5
no93,5,Opp,worst,2,2,4,6,h,22,E,E,E,Opp_Second,EE,f,18,h7710,ind,6.428571429,4.714285714,5.428571429,3.857142857,7,1
no94,4,Opp,worst,1,1,2,6,h,11,E,E,E,Opp_Second,EE,m,21,h11760,pro,4.142857143,3.714285714,3.571428571,5,5,6
no95,5,Opp,worst,3,3,6,6,h,33,O,O,O,Opp_Second,OO,m,19,h11660,ind,4.571428571,4.142857143,4.571428571,5.714285714,8,2
no96,4,Opp,worst,1,2,3,6,h,12,E,E,E,Opp_Second,EE,f,19,h12210,pro,6.285714286,5.571428571,5.142857143,5.285714286,8,2
no97,5,Opp,worst,3,3,6,6,h,33,O,O,O,Opp_Second,OO,m,25,h12830,pro,3,2.285714286,3.142857143,5.142857143,4,4
no98,4,Opp,inequity,1,1,2,7,h,11,E,E,E,Opp_Second,EE,f,22,h8240,pro,4.142857143,4.142857143,4.714285714,3.142857143,8,1
no99,4,Opp,inequity,4,4,8,7,h,44,O,O,O,Opp_Second,OO,f,19,h8640,pro,4.428571429,4.285714286,4.428571429,5.714285714,3,6
no100,3,Opp,inequity,4,1,5,7,h,41,Other,O,E,Opp_Second,OE,m,20,h8130,ind,2.571428571,5.428571429,3.714285714,5.857142857,5,3
no101,3,Opp,inequity,2,2,4,7,h,22,E,E,E,Opp_Second,EE,m,20,h8340,pro,4.857142857,5.142857143,5.571428571,2,8,2
no102,4,Opp,inequity,3,3,6,7,h,33,O,O,O,Opp_Second,OO,m,20,h8440,ind,3.285714286,4.142857143,4.571428571,2.714285714,5,2
no103,3,Opp,inequity,2,3,5,7,h,23,Other,E,O,Opp_Second,EO,f,20,h8540,pro,5,4.857142857,4.142857143,3.857142857,8,2
no104,5,Opp,inequity,2,1,3,7,h,21,E,E,E,Opp_Second,EE,m,19,h9050,ind,5.142857143,4.142857143,4.571428571,4.571428571,8,3
no105,4,Opp,inequity,2,1,3,7,h,21,E,E,E,Opp_Second,EE,m,20,h8950,other,3.142857143,4.714285714,3.714285714,2.857142857,7,4
no106,5,Opp,inequity,4,4,8,7,h,44,O,O,O,Opp_Second,OO,m,20,h8750,ind,2.857142857,3.142857143,5.571428571,6,6,5
no107,4,Opp,inequity,2,4,6,7,h,24,Other,E,O,Opp_Second,EO,m,19,h9150,pro,5,3.571428571,3,5.285714286,5,6
no108,1,Opp,inequity,1,1,2,7,h,11,E,E,E,Opp_Second,EE,m,18,h8850,ind,6.285714286,5.571428571,5.428571429,4.571428571,10,1
no109,2,Opp,inequity,1,2,3,7,h,12,E,E,E,Opp_Second,EE,m,18,h9250,pro,4.714285714,3.857142857,4.428571429,5.142857143,7,2
no110,4,Opp,inequity,3,2,5,7,h,32,Other,O,E,Opp_Second,OE,f,20,h11850,ind,4.714285714,4.857142857,2.714285714,4.142857143,7,2
no111,4,Opp,inequity,1,1,2,7,h,11,E,E,E,Opp_Second,EE,f,18,h11950,ind,4.428571429,3.714285714,3.142857143,4.857142857,5,3
no112,4,Opp,inequity,1,1,2,7,h,11,E,E,E,Opp_Second,EE,m,20,h12310,ind,4.571428571,5.714285714,3.857142857,6.857142857,8,3
