id,rating_distributor,rating_recipient,order,univ,gender,age,cond,type
18,3,2,sure_risky,hokkaido,man,23,inequality,other
19,3,1,sure_risky,hokkaido,man,18,control,other
20,3,3,sure_risky,hokkaido,woman,19,control,risky
21,4,3,sure_risky,hokkaido,man,19,control,risky
22,4,4,sure_risky,hokkaido,man,21,control,risky
23,2,2,sure_risky,hokkaido,man,20,control,sure
25,2,2,sure_risky,hokkaido,man,20,control,sure
26,2,2,sure_risky,hokkaido,man,20,control,sure
27,2,2,sure_risky,hokkaido,man,19,control,sure
28,3,1,sure_risky,hokkaido,man,20,control,other
29,4,4,sure_risky,hokkaido,man,20,control,risky
30,4,4,sure_risky,hokkaido,man,18,control,risky
31,2,3,sure_risky,hokkaido,woman,20,control,other
32,2,1,sure_risky,hokkaido,man,20,control,sure
33,2,2,sure_risky,hokkaido,woman,18,control,sure
34,2,2,sure_risky,hokkaido,woman,18,control,sure
36,2,2,sure_risky,hokkaido,woman,19,control,sure
37,2,3,sure_risky,tokyo,man,19,failure,other
38,3,1,risky_sure,tokyo,woman,18,inequality,other
39,2,2,sure_risky,tokyo,man,23,success,sure
40,1,2,sure_risky,tokyo,man,26,control,sure
41,3,3,risky_sure,tokyo,man,22,failure,risky
42,1,2,risky_sure,tokyo,man,22,control,sure
43,3,3,sure_risky,tokyo,man,22,success,risky
44,3,3,risky_sure,tokyo,man,23,success,risky
45,4,4,sure_risky,tokyo,man,23,control,risky
47,2,2,sure_risky,tokyo,man,21,failure,sure
48,3,4,risky_sure,tokyo,man,23,inequality,risky
49,1,3,risky_sure,tokyo,man,24,control,other
50,1,1,risky_sure,tokyo,woman,34,failure,sure
51,1,1,sure_risky,tokyo,man,20,inequality,sure
52,2,2,sure_risky,tokyo,man,22,control,sure
53,2,3,sure_risky,tokyo,woman,22,success,other
54,3,3,risky_sure,tokyo,man,21,success,risky
55,2,3,risky_sure,tokyo,woman,22,control,other
56,1,3,sure_risky,tokyo,man,26,failure,other
58,3,3,risky_sure,tokyo,woman,24,failure,risky
59,2,2,risky_sure,tokyo,woman,21,inequality,sure
60,2,2,sure_risky,tokyo,man,18,inequality,sure
61,2,2,sure_risky,tokyo,man,20,inequality,sure
62,2,2,risky_sure,tokyo,man,21,control,sure
63,4,4,sure_risky,tokyo,woman,21,control,risky
64,2,3,risky_sure,tokyo,man,19,success,other
65,1,1,sure_risky,tokyo,man,22,failure,sure
66,1,2,risky_sure,tokyo,woman,21,inequality,sure
67,1,1,sure_risky,tokyo,woman,22,success,sure
69,3,3,risky_sure,tokyo,man,21,failure,risky
70,2,2,risky_sure,tokyo,woman,22,control,sure
71,2,1,sure_risky,tokyo,man,22,control,sure
72,3,3,risky_sure,tokyo,man,22,success,risky
73,1,1,sure_risky,tokyo,man,21,failure,sure
74,3,1,risky_sure,tokyo,man,18,control,other
75,2,3,sure_risky,tokyo,man,25,inequality,other
76,2,3,risky_sure,tokyo,man,25,success,other
77,1,1,sure_risky,tokyo,man,23,control,sure
78,2,2,sure_risky,tokyo,man,21,success,sure
80,1,1,sure_risky,tokyo,man,19,failure,sure
81,2,2,risky_sure,tokyo,man,22,inequality,sure
82,2,2,risky_sure,tokyo,man,22,failure,sure
83,2,1,sure_risky,tokyo,woman,22,success,sure
84,3,3,sure_risky,tokyo,woman,23,failure,risky
85,4,4,sure_risky,tokyo,woman,24,inequality,risky
86,3,3,risky_sure,tokyo,woman,21,control,risky
87,2,2,risky_sure,tokyo,woman,21,success,sure
88,1,1,risky_sure,tokyo,woman,18,inequality,sure
89,2,2,risky_sure,tokyo,man,20,failure,sure
91,1,2,sure_risky,tokyo,man,23,control,sure
92,3,1,risky_sure,tokyo,man,19,inequality,other
93,3,3,sure_risky,tokyo,man,23,success,risky
94,1,1,risky_sure,tokyo,man,21,control,sure
95,4,4,risky_sure,tokyo,man,22,failure,risky
96,1,2,sure_risky,tokyo,woman,23,failure,sure
97,3,3,risky_sure,tokyo,woman,21,success,risky
98,3,1,sure_risky,tokyo,woman,23,control,other
99,2,2,sure_risky,tokyo,woman,23,inequality,sure
100,2,2,sure_risky,tokyo,woman,23,failure,sure
102,2,2,sure_risky,tokyo,woman,23,control,sure
103,1,1,sure_risky,tokyo,woman,22,success,sure
104,1,1,risky_sure,tokyo,woman,23,control,sure
105,3,4,risky_sure,tokyo,woman,22,success,risky
106,1,1,risky_sure,tokyo,woman,24,inequality,sure
107,2,2,sure_risky,tokyo,man,23,inequality,sure
108,3,3,risky_sure,tokyo,man,22,control,risky
109,3,3,risky_sure,tokyo,man,20,failure,risky
110,3,3,risky_sure,tokyo,man,23,success,risky
111,3,3,sure_risky,tokyo,man,23,success,risky
114,3,1,sure_risky,tokyo,man,21,inequality,other
115,3,3,risky_sure,tokyo,man,21,inequality,risky
116,2,1,risky_sure,tokyo,woman,20,failure,sure
117,2,1,sure_risky,tokyo,woman,20,failure,sure
118,2,3,sure_risky,tokyo,man,25,control,other
119,3,2,risky_sure,tokyo,man,19,success,other
120,1,1,sure_risky,tokyo,man,24,failure,sure
121,4,4,risky_sure,tokyo,man,22,inequality,risky
122,3,1,sure_risky,tokyo,man,23,control,other
123,1,1,sure_risky,tokyo,man,19,success,sure
125,4,3,sure_risky,tokyo,man,22,inequality,risky
126,3,3,risky_sure,tokyo,woman,19,control,risky
127,2,2,risky_sure,tokyo,woman,22,failure,sure
128,3,3,risky_sure,tokyo,man,21,failure,risky
129,1,1,sure_risky,tokyo,man,22,inequality,sure
130,1,1,sure_risky,tokyo,man,22,failure,sure
131,3,2,risky_sure,tokyo,man,21,inequality,other
132,2,2,sure_risky,tokyo,man,20,success,sure
133,2,2,sure_risky,tokyo,man,20,control,sure
134,2,3,risky_sure,tokyo,man,20,success,other
136,4,4,risky_sure,tokyo,man,22,control,risky
137,3,2,sure_risky,tokyo,man,21,control,other
138,1,1,risky_sure,tokyo,man,21,failure,sure
139,1,1,sure_risky,tokyo,woman,22,failure,sure
140,2,2,sure_risky,tokyo,woman,22,inequality,sure
141,2,1,risky_sure,tokyo,woman,22,inequality,sure
142,3,2,sure_risky,tokyo,woman,21,success,other
143,2,2,risky_sure,tokyo,woman,23,control,sure
144,2,1,risky_sure,tokyo,woman,24,success,sure
145,2,2,risky_sure,tokyo,woman,23,failure,sure
147,3,3,risky_sure,tokyo,man,24,control,risky
148,3,2,risky_sure,tokyo,man,22,success,other
149,1,1,sure_risky,tokyo,man,23,failure,sure
150,2,2,sure_risky,tokyo,man,22,success,sure
151,3,3,sure_risky,tokyo,man,21,control,risky
152,1,1,sure_risky,tokyo,man,20,inequality,sure
153,2,3,sure_risky,tokyo,man,22,failure,other
154,2,2,risky_sure,tokyo,woman,21,control,sure
155,2,3,sure_risky,tokyo,woman,21,inequality,other
156,3,3,sure_risky,tokyo,woman,27,success,risky
158,2,1,sure_risky,tokyo,woman,21,control,sure
159,3,2,risky_sure,tokyo,woman,23,success,other
160,1,2,risky_sure,tokyo,woman,23,inequality,sure
161,2,2,risky_sure,tokyo,man,21,failure,sure
162,1,1,sure_risky,tokyo,man,24,control,sure
163,2,2,sure_risky,tokyo,man,25,inequality,sure
164,2,2,risky_sure,tokyo,man,20,success,sure
165,2,2,sure_risky,tokyo,man,23,failure,sure
166,2,2,risky_sure,tokyo,man,22,control,sure
167,3,3,sure_risky,tokyo,man,27,success,risky
169,3,3,risky_sure,tokyo,man,20,inequality,risky
170,1,1,risky_sure,tokyo,man,24,failure,sure
